# recovery_spliner perf log started 20260817_111407
# [PERF] fields: loops=timer ticks in the window, hz=achieved loop rate, loop_ms avg/max=wall time inside loop(), splines=do_spline calls, blended=loops that also splined the OT-blended path, samples=mean spline samples bounds-checked, danger=splines aborted on the bounds check, mrk_hz=achieved RViz marker rate (see marker_rate_hz; the wpnt topics stay at the full loop rate), cpu=this process's own CPU over the window (100% = one core), viz=spline-sample marker publishing
1786932943.806 [PERF] loops=33 hz=31.7 loop_ms avg=19.27 max=117.36 splines=33 blended=0 samples=124.0 danger=0 mrk_hz=4.8 cpu=48.1% viz=off
1786932944.812 [PERF] loops=37 hz=36.8 loop_ms avg=16.98 max=84.28 splines=37 blended=0 samples=124.0 danger=0 mrk_hz=4.0 cpu=47.7% viz=off
1786932945.837 [PERF] loops=37 hz=36.1 loop_ms avg=17.93 max=61.04 splines=37 blended=0 samples=124.0 danger=0 mrk_hz=4.9 cpu=50.8% viz=off
1786932946.841 [PERF] loops=32 hz=31.9 loop_ms avg=20.30 max=108.08 splines=32 blended=0 samples=114.5 danger=0 mrk_hz=5.0 cpu=43.8% viz=off
1786932947.859 [PERF] loops=36 hz=35.4 loop_ms avg=19.59 max=62.24 splines=36 blended=0 samples=115.0 danger=0 mrk_hz=4.9 cpu=45.2% viz=off
1786932948.863 [PERF] loops=30 hz=29.9 loop_ms avg=23.51 max=195.62 splines=30 blended=0 samples=115.0 danger=0 mrk_hz=4.0 cpu=47.8% viz=off
1786932949.877 [PERF] loops=39 hz=38.5 loop_ms avg=13.88 max=54.17 splines=39 blended=0 samples=115.0 danger=0 mrk_hz=4.9 cpu=53.2% viz=off
1786932950.904 [PERF] loops=32 hz=31.2 loop_ms avg=19.31 max=83.53 splines=32 blended=0 samples=115.0 danger=0 mrk_hz=4.9 cpu=43.8% viz=off
1786932951.947 [PERF] loops=36 hz=34.5 loop_ms avg=17.60 max=86.51 splines=36 blended=0 samples=115.0 danger=0 mrk_hz=4.8 cpu=47.9% viz=off
1786932952.960 [PERF] loops=35 hz=34.5 loop_ms avg=16.54 max=74.63 splines=35 blended=0 samples=115.0 danger=0 mrk_hz=3.9 cpu=43.4% viz=off
1786932953.962 [PERF] loops=36 hz=35.9 loop_ms avg=16.30 max=71.00 splines=36 blended=0 samples=115.0 danger=0 mrk_hz=5.0 cpu=48.9% viz=off
1786932954.968 [PERF] loops=34 hz=33.8 loop_ms avg=16.28 max=87.77 splines=34 blended=0 samples=115.0 danger=0 mrk_hz=5.0 cpu=46.7% viz=off
1786932955.997 [PERF] loops=34 hz=33.1 loop_ms avg=19.99 max=94.96 splines=34 blended=0 samples=115.0 danger=0 mrk_hz=3.9 cpu=43.8% viz=off
1786932957.002 [PERF] loops=27 hz=26.9 loop_ms avg=24.37 max=112.98 splines=27 blended=0 samples=115.0 danger=0 mrk_hz=5.0 cpu=36.8% viz=off
1786932958.039 [PERF] loops=39 hz=37.6 loop_ms avg=14.95 max=64.76 splines=39 blended=0 samples=115.0 danger=0 mrk_hz=4.8 cpu=52.1% viz=off
1786932959.061 [PERF] loops=25 hz=24.5 loop_ms avg=30.50 max=273.12 splines=25 blended=0 samples=115.0 danger=0 mrk_hz=3.9 cpu=41.1% viz=off
1786932960.086 [PERF] loops=35 hz=34.1 loop_ms avg=18.46 max=68.77 splines=35 blended=0 samples=115.0 danger=0 mrk_hz=4.9 cpu=43.9% viz=off
1786932961.092 [PERF] loops=37 hz=36.8 loop_ms avg=17.09 max=67.76 splines=37 blended=0 samples=115.0 danger=0 mrk_hz=5.0 cpu=50.8% viz=off
1786932962.103 [PERF] loops=35 hz=34.6 loop_ms avg=18.05 max=101.71 splines=35 blended=0 samples=115.0 danger=0 mrk_hz=4.9 cpu=47.4% viz=off
1786932963.139 [PERF] loops=35 hz=33.8 loop_ms avg=17.21 max=75.51 splines=35 blended=0 samples=115.0 danger=0 mrk_hz=3.9 cpu=47.3% viz=off
1786932964.159 [PERF] loops=38 hz=37.3 loop_ms avg=15.41 max=61.86 splines=38 blended=0 samples=115.0 danger=0 mrk_hz=4.9 cpu=51.0% viz=off
1786932965.159 [PERF] loops=31 hz=31.0 loop_ms avg=22.13 max=84.58 splines=31 blended=0 samples=115.0 danger=0 mrk_hz=5.0 cpu=40.0% viz=off
1786932966.202 [PERF] loops=39 hz=37.4 loop_ms avg=14.66 max=51.55 splines=39 blended=0 samples=115.0 danger=0 mrk_hz=4.8 cpu=48.9% viz=off
1786932967.202 [PERF] loops=34 hz=34.0 loop_ms avg=17.57 max=71.11 splines=34 blended=0 samples=115.0 danger=0 mrk_hz=4.0 cpu=43.0% viz=off
1786932968.206 [PERF] loops=37 hz=36.9 loop_ms avg=14.38 max=83.93 splines=37 blended=0 samples=115.0 danger=0 mrk_hz=5.0 cpu=51.8% viz=off
1786932969.228 [PERF] loops=19 hz=18.6 loop_ms avg=39.53 max=361.85 splines=19 blended=0 samples=115.0 danger=0 mrk_hz=3.9 cpu=36.3% viz=off
1786932970.266 [PERF] loops=36 hz=34.6 loop_ms avg=18.46 max=66.45 splines=36 blended=0 samples=115.0 danger=0 mrk_hz=4.8 cpu=44.2% viz=off
1786932971.292 [PERF] loops=37 hz=36.1 loop_ms avg=15.66 max=47.80 splines=37 blended=0 samples=115.0 danger=0 mrk_hz=3.9 cpu=46.8% viz=off
